time,Electricity imported T1,Electricity imported T2,Electricity exported T1,Electricity exported T2
2023-01-15 00:00,7489.535,6969.053,851.805,2013.643
2023-01-15 00:15,7489.727,6969.053,851.805,2013.643
2023-01-15 00:30,7489.924,6969.053,851.805,2013.643
2023-01-15 00:45,7490.243,6969.053,851.805,2013.643
2023-01-15 01:00,7490.853,6969.053,851.805,2013.643
2023-01-15 01:15,7491.024,6969.053,851.805,2013.643
2023-01-15 01:30,7491.214,6969.053,851.805,2013.643
2023-01-15 01:45,7491.401,6969.053,851.805,2013.643
2023-01-15 02:00,7491.571,6969.053,851.805,2013.643
2023-01-15 02:15,7491.771,6969.053,851.805,2013.643
2023-01-15 02:30,7491.951,6969.053,851.805,2013.643
2023-01-15 02:45,7492.133,6969.053,851.805,2013.643
2023-01-15 03:00,7492.317,6969.053,851.805,2013.643
2023-01-15 03:15,7492.513,6969.053,851.805,2013.643
2023-01-15 03:30,7492.683,6969.053,851.805,2013.643
2023-01-15 03:45,7492.874,6969.053,851.805,2013.643
2023-01-15 04:00,7493.062,6969.053,851.805,2013.643
2023-01-15 04:15,7493.240,6969.053,851.805,2013.643
2023-01-15 04:30,7493.428,6969.053,851.805,2013.643
2023-01-15 04:45,7493.619,6969.053,851.805,2013.643
2023-01-15 05:00,7493.787,6969.053,851.805,2013.643
2023-01-15 05:15,7493.984,6969.053,851.805,2013.643
2023-01-15 05:30,7494.163,6969.053,851.805,2013.643
2023-01-15 05:45,7494.345,6969.053,851.805,2013.643
2023-01-15 06:00,7494.538,6969.053,851.805,2013.643
2023-01-15 06:15,7494.722,6969.053,851.805,2013.643
2023-01-15 06:30,7495.064,6969.053,851.805,2013.643
2023-01-15 06:45,7495.412,6969.053,851.805,2013.643
2023-01-15 07:00,7495.586,6969.053,851.805,2013.643
2023-01-15 07:15,7495.808,6969.053,851.805,2013.643
2023-01-15 07:30,7496.003,6969.053,851.805,2013.643
2023-01-15 07:45,7496.188,6969.053,851.805,2013.643
2023-01-15 08:00,7496.414,6969.053,851.805,2013.643
2023-01-15 08:15,7496.634,6969.053,851.805,2013.643
2023-01-15 08:30,7496.857,6969.053,851.805,2013.643
2023-01-15 08:45,7497.094,6969.053,851.805,2013.643
2023-01-15 09:00,7497.302,6969.053,851.805,2013.643
2023-01-15 09:15,7497.501,6969.053,851.805,2013.643
2023-01-15 09:30,7497.708,6969.053,851.805,2013.643
2023-01-15 09:45,7497.887,6969.053,851.805,2013.643
2023-01-15 10:00,7498.005,6969.053,851.805,2013.643
2023-01-15 10:15,7498.154,6969.053,851.805,2013.643
2023-01-15 10:30,7498.625,6969.053,851.805,2013.643
2023-01-15 10:45,7498.984,6969.053,851.805,2013.643
2023-01-15 11:00,7499.294,6969.053,851.816,2013.643
2023-01-15 11:15,7499.487,6969.053,851.853,2013.643
2023-01-15 11:30,7499.687,6969.053,851.862,2013.643
2023-01-15 11:45,7499.904,6969.053,851.868,2013.643
2023-01-15 12:00,7500.277,6969.053,851.869,2013.643
2023-01-15 12:15,7500.333,6969.053,852.027,2013.643
2023-01-15 12:30,7500.357,6969.053,852.234,2013.643
2023-01-15 12:45,7500.638,6969.053,852.234,2013.643
2023-01-15 13:00,7501.301,6969.053,852.234,2013.643
2023-01-15 13:15,7501.961,6969.053,852.234,2013.643
2023-01-15 13:30,7502.377,6969.053,852.234,2013.643
2023-01-15 13:45,7502.686,6969.053,852.234,2013.643
2023-01-15 14:00,7502.890,6969.053,852.234,2013.643
2023-01-15 14:15,7503.077,6969.053,852.234,2013.643
2023-01-15 14:30,7503.269,6969.053,852.234,2013.643
2023-01-15 14:45,7503.584,6969.053,852.234,2013.643
2023-01-15 15:00,7504.110,6969.053,852.234,2013.643
2023-01-15 15:15,7504.480,6969.053,852.234,2013.643
2023-01-15 15:30,7504.805,6969.053,852.234,2013.643
2023-01-15 15:45,7505.002,6969.053,852.234,2013.643
2023-01-15 16:00,7505.196,6969.053,852.234,2013.643
2023-01-15 16:15,7505.395,6969.053,852.234,2013.643
2023-01-15 16:30,7505.603,6969.053,852.234,2013.643
2023-01-15 16:45,7505.807,6969.053,852.234,2013.643
2023-01-15 17:00,7506.039,6969.053,852.234,2013.643
2023-01-15 17:15,7506.317,6969.053,852.234,2013.643
2023-01-15 17:30,7506.524,6969.053,852.234,2013.643
2023-01-15 17:45,7506.742,6969.053,852.234,2013.643
2023-01-15 18:00,7506.983,6969.053,852.234,2013.643
2023-01-15 18:15,7507.217,6969.053,852.234,2013.643
